x	y
365.80	181.200
349.60	185.000
333.40	185.400
373.86	161.430
380.25	179.500
354.40	168.600
340.60	171.800
323.50	170.500
314.80	184.800
353.86	117.860
341.00	98.167
358.40	93.200
343.43	74.143
356.00	60.000
366.00	71.800
373.75	106.500
373.67	126.000
292.60	117.000
313.50	115.250
331.83	116.670
327.00	61.333
325.40	80.800
302.50	67.167
290.83	90.833
288.50	152.330
286.40	175.800
262.60	146.000
272.71	128.710
303.60	168.600
312.86	152.430
320.00	98.000
299.40	137.600
333.20	155.400
318.40	132.800
333.50	136.830
353.57	144.860
369.50	144.750
386.40	143.600
365.80	48.800
345.86	49.286
331.25	46.750
313.17	45.167
289.67	48.333
269.00	48.800
256.50	32.500
280.80	26.800
293.00	9.750
305.67	27.500
318.40	12.000
331.29	30.286
339.25	16.250
352.80	30.400
276.83	69.667
250.00	62.833
265.50	84.667
272.80	104.600
250.00	106.330
240.00	85.000
236.14	129.000
232.40	149.200
211.40	120.800
225.20	104.400
172.40	118.000
191.80	124.400
208.33	138.500
192.40	151.800
178.57	161.860
178.50	139.500
163.80	149.400
158.83	132.170
184.50	176.250
201.17	169.330
209.25	154.750
166.40	176.200
159.00	163.400
154.60	111.200
147.33	177.170
145.71	154.000
141.00	128.140
140.75	106.500
128.86	169.710
115.20	155.600
97.00	156.000
87.25	137.250
108.00	134.500
128.17	146.670
122.75	127.500
127.25	112.000
137.40	188.000
116.20	186.600
109.00	173.830
93.50	172.250
92.00	186.170
75.20	168.800
66.50	188.000
43.75	194.250
25.20	209.000
