Argile	Limon	Sable	K2O	Mg++	Na+/100g	K+	Conduc	Capa_Reten	Na+/l	Altitude
73	24	3	1.3	9.2	4.2	1.2	7.9	41.8	48.7	6
75	24	2	0.8	10.7	10.4	1.4	11.5	42.4	66.0	2
74	24	2	1.7	8.6	10.8	1.9	10.4	41.4	24.0	2
23	26	49	0.3	2.0	1.2	0.3	0.6	22.3	2.2	6
73	24	3	1.3	9.2	4.2	1.2	7.9	41.8	48.7	6
72	22	3	1.7	6.0	10.7	1.3	14.5	42.7	68.1	4
52	46	2	0.8	6.0	18.4	2.2	15.2	37.4	116.6	4
42	49	8	1.4	19.6	2.5	1.3	2.9	35.4	17.0	3
74	24	2	1.7	8.6	10.8	1.9	10.4	41.4	24.0	3
53	44	4	1.4	17.0	11.7	0.5	16.9	38.0	67.3	6
76	20	4	2.2	16.4	4.6	1.2	8.9	41.0	27.3	4
73	19	2	2.5	5.0	4.8	1.5	7.4	40.7	34.8	6
75	16	7	2.3	31.0	15.2	1.3	24.0	41.2	161.0	4
78	20	2	0.9	7.0	10.6	0.7	21.2	42.6	116.4	3
72	26	3	1.0	21.2	12.4	1.5	17.5	42.4	80.0	4
53	44	4	0.8	12.9	4.7	1.8	5.7	40.6	22.9	6
73	21	3	0.7	12.4	1.4	1.4	1.5	38.0	6.2	6
37	61	2	2.5	17.0	10.7	1.1	20.6	38.0	110.6	2
51	46	2	2.0	18.2	16.8	1.6	18.5	39.5	129.1	2
70	22	5	2.0	27.6	10.0	2.1	10.8	40.9	61.6	4
57	28	14	3.0	12.0	16.0	2.6	14.7	40.4	85.3	2
63	31	4	1.3	18.6	10.1	1.0	16.2	37.7	115.0	2
72	21	4	0.7	16.0	10.9	1.8	20.7	36.4	133.9	2
58	39	3	1.5	16.6	13.1	1.3	15.1	36.7	73.8	2
26	67	7	0.9	17.0	11.5	1.2	11.9	32.8	86.8	2
25	43	32	0.5	15.0	6.5	0.7	7.6	30.9	37.8	2
56	42	2	0.6	16.0	7.4	1.3	10.5	38.3	57.6	2
29	33	38	0.8	13.0	4.1	0.7	5.1	30.9	37.7	2
43	47	10	0.6	15.1	5.9	0.9	10.3	34.5	59.8	3
44	53	3	1.4	9.0	0.7	0.2	6.0	48.6	28.1	3
58	33	9	1.4	14.6	10.9	1.2	21.4	42.7	115.0	2
33	34	33	1.0	15.3	4.1	0.7	2.5	37.0	20.2	2
59	36	4	2.9	9.0	1.7	1.1	1.8	33.0	19.1	6
36	40	25	0.3	10.0	1.4	0.6	1.3	28.3	4.8	4
44	17	38	1.1	14.0	5.2	0.7	10.0	37.7	73.8	4
38	56	3	0.2	14.0	10.7	1.1	8.5	39.3	44.8	6
46	49	2	1.0	19.7	7.9	1.3	12.1	35.5	68.6	6
61	34	3	1.3	13.0	11.1	1.3	0.8	35.3	3.3	6
75	20	3	0.7	18.6	6.1	1.2	6.5	33.5	27.6	3
79	19	2	1.2	16.9	11.4	2.2	15.2	34.2	79.0	3
75	23	2	0.7	16.3	10.3	2.5	22.9	39.4	125.4	3
76	19	2	1.7	12.0	8.5	3.7	19.4	36.5	102.1	2
78	21	2	1.4	9.7	10.2	3.3	28.0	53.2	137.8	2
78	19	2	4.0	22.0	3.0	3.2	6.2	38.9	41.8	2
78	19	2	4.0	22.0	3.0	3.2	6.2	38.9	41.8	3
